تاریخ‌اعمال‌سود,کل‌واحدها ,سود تقسیمی هر واحد,مبلغ‌سودکل,name,date
1390/10/01,845678,55424,46870857472,نهال سرمایه ایرانیان,2011-12-22
1390/12/15,559402,36523,20431223644,نهال سرمایه ایرانیان,2012-03-05
1391/03/15,473908,53168,25196740544,نهال سرمایه ایرانیان,2012-06-04
1391/06/15,393473,53506,21053166338,نهال سرمایه ایرانیان,2012-09-05
1391/09/15,258567,52356,13538185020,نهال سرمایه ایرانیان,2012-12-05
1391/12/15,184359,51780,9546293697,نهال سرمایه ایرانیان,2013-03-05
1392/03/15,169277,52931,8960484478,نهال سرمایه ایرانیان,2013-06-05
1392/06/15,165360,60787,10305876628,نهال سرمایه ایرانیان,2013-09-06
1392/09/15,150298,60284,9060564632,نهال سرمایه ایرانیان,2013-12-06
1392/12/15,140979,49011,7301035135,نهال سرمایه ایرانیان,2014-03-06
1393/03/15,136376,54326,7408762576,نهال سرمایه ایرانیان,2014-06-05
1393/06/15,132581,51609,6842372829,نهال سرمایه ایرانیان,2014-09-06
1393/09/15,127085,52833,6714282601,نهال سرمایه ایرانیان,2014-12-06
1393/12/15,123058,21745,3311605270,نهال سرمایه ایرانیان,2015-03-06
1394/03/15,126335,59835,7560811468,نهال سرمایه ایرانیان,2015-06-05
1394/04/15,132008,20383,2715416696,نهال سرمایه ایرانیان,2015-07-06
1394/05/15,143527,20383,2949904877,نهال سرمایه ایرانیان,2015-08-06
1394/06/15,161250,19990,3282676588,نهال سرمایه ایرانیان,2015-09-06
1394/07/15,167650,17009,2851650417,نهال سرمایه ایرانیان,2015-10-07
1394/08/15,168488,16768,2825206784,نهال سرمایه ایرانیان,2015-11-06
1394/09/15,155695,17344,2700374080,نهال سرمایه ایرانیان,2015-12-06
1394/10/15,151922,17556,2667142632,نهال سرمایه ایرانیان,2016-01-05
1394/11/15,150685,19514,2940467090,نهال سرمایه ایرانیان,2016-02-04
1394/12/15,161040,19107,3076991280,نهال سرمایه ایرانیان,2016-03-05
1395/01/15,189833,17696,3359805030,نهال سرمایه ایرانیان,2016-04-03
1395/02/15,255502,18964,4853848022,نهال سرمایه ایرانیان,2016-05-04
1395/03/15,300179,19553,5869723092,نهال سرمایه ایرانیان,2016-06-04
1395/04/15,351131,19678,6911181067,نهال سرمایه ایرانیان,2016-07-05
1395/05/15,467770,19510,9132247255,نهال سرمایه ایرانیان,2016-08-05
1395/06/15,642890,19316,12421429010,نهال سرمایه ایرانیان,2016-09-05
1395/07/15,855201,18126,15514972266,نهال سرمایه ایرانیان,2016-10-06
1395/08/15,866813,18275,15847521513,نهال سرمایه ایرانیان,2016-11-05
1395/09/15,841604,17664,14866093056,نهال سرمایه ایرانیان,2016-12-05
1395/10/15,810578,17733,14376579862,نهال سرمایه ایرانیان,2017-01-04
1395/11/15,784077,17593,13796853009,نهال سرمایه ایرانیان,2017-02-03
1395/12/15,591642,17384,10286556945,نهال سرمایه ایرانیان,2017-03-05
1396/01/15,500732,17326,8677593112,نهال سرمایه ایرانیان,2017-04-04
1396/02/15,459433,17812,8188810337,نهال سرمایه ایرانیان,2017-05-05
1396/03/15,401103,17703,7102243263,نهال سرمایه ایرانیان,2017-06-05
1396/04/15,345389,17844,6163493352,نهال سرمایه ایرانیان,2017-07-06
1396/05/15,309460,18670,5777618200,نهال سرمایه ایرانیان,2017-08-06
1396/06/15,292019,17144,5007590056,نهال سرمایه ایرانیان,2017-09-06
1396/07/15,294041,17065,5021806065,نهال سرمایه ایرانیان,2017-10-07
1396/08/15,288833,17656,5099635448,نهال سرمایه ایرانیان,2017-11-06
1396/09/15,298053,17122,5105767418,نهال سرمایه ایرانیان,2017-12-06
1396/10/15,298969,16964,5076236783,نهال سرمایه ایرانیان,2018-01-05
1396/11/15,286978,17201,4937520584,نهال سرمایه ایرانیان,2018-02-04
1396/12/15,282176,17181,4848772071,نهال سرمایه ایرانیان,2018-03-06
1397/01/15,277446,16280,4519234668,نهال سرمایه ایرانیان,2018-04-04
1397/02/15,282803,17440,4938225986,نهال سرمایه ایرانیان,2018-05-05
1397/03/15,278385,17410,4850092420,نهال سرمایه ایرانیان,2018-06-05
1397/04/15,282874,17267,4884385358,نهال سرمایه ایرانیان,2018-07-06
1397/05/15,290049,20045,5814043885,نهال سرمایه ایرانیان,2018-08-06
1397/06/15,273936,21925,6006993781,نهال سرمایه ایرانیان,2018-09-06
1397/07/15,282464,21170,5981227577,نهال سرمایه ایرانیان,2018-10-07
1397/08/15,305103,19746,6025355218,نهال سرمایه ایرانیان,2018-11-06
1397/09/15,325991,19771,6445168061,نهال سرمایه ایرانیان,2018-12-06
1397/10/15,397254,18114,7196096345,نهال سرمایه ایرانیان,2019-01-05
1397/11/15,549215,17286,9493882202,نهال سرمایه ایرانیان,2019-02-04
1397/12/15,612872,16854,10329505333,نهال سرمایه ایرانیان,2019-03-06
1398/01/15,636930,18296,11665588281,نهال سرمایه ایرانیان,2019-04-04
1398/02/15,654930,19568,12816655081,نهال سرمایه ایرانیان,2019-05-05
1398/03/15,740714,19134,14184484179,نهال سرمایه ایرانیان,2019-06-05
1398/04/15,803382,19117,15359470456,نهال سرمایه ایرانیان,2019-07-06
1398/05/15,895894,19118,17131244114,نهال سرمایه ایرانیان,2019-08-06
1398/06/15,1015225,19538,19845723658,نهال سرمایه ایرانیان,2019-09-06
1398/07/15,1159323,19145,22219262077,نهال سرمایه ایرانیان,2019-10-07
1398/08/15,1337961,18107,24236659023,نهال سرمایه ایرانیان,2019-11-06
1398/09/15,1502098,16949,25505165098,نهال سرمایه ایرانیان,2019-12-06
1398/10/15,1575563,17275,27250889399,نهال سرمایه ایرانیان,2020-01-05
1398/11/15,1440448,17325,24976715632,نهال سرمایه ایرانیان,2020-02-04
1398/12/15,1391938,18091,25186163379,نهال سرمایه ایرانیان,2020-03-05
1399/01/15,1478099,17533,25924733755,نهال سرمایه ایرانیان,2020-04-03
1399/02/15,1510756,23604,35726398337,نهال سرمایه ایرانیان,2020-05-04
1399/03/15,1650660,20868,34446240559,نهال سرمایه ایرانیان,2020-06-04
1399/04/15,1668550,19709,32930400189,نهال سرمایه ایرانیان,2020-07-05
1399/05/15,2013337,21647,43582814939,نهال سرمایه ایرانیان,2020-08-05
1399/06/15,2429811,18598,45193354808,نهال سرمایه ایرانیان,2020-09-05
1399/07/15,2812021,16743,47244200259,نهال سرمایه ایرانیان,2020-10-06
1399/08/15,3099073,14363,44511985499,نهال سرمایه ایرانیان,2020-11-05
1399/09/15,2885268,15673,45220805364,نهال سرمایه ایرانیان,2020-12-05
1399/10/15,2868807,14918,42803662974,نهال سرمایه ایرانیان,2021-01-04
1399/11/15,2799527,16447,46043820569,نهال سرمایه ایرانیان,2021-02-03
1399/12/15,2888606,14753,42652331974,نهال سرمایه ایرانیان,2021-03-05
1400/01/15,2967691,14343,42605374781,نهال سرمایه ایرانیان,2021-04-04
1400/02/15,2850988,13597,38836526561,نهال سرمایه ایرانیان,2021-05-05
1400/03/15,2772398,14470,40127093195,نهال سرمایه ایرانیان,2021-06-05
1400/04/15,2656774,15709,41735262766,نهال سرمایه ایرانیان,2021-07-06
1400/05/15,2619718,16137,42285242280,نهال سرمایه ایرانیان,2021-08-06
1400/06/15,2561178,16549,42399417768,نهال سرمایه ایرانیان,2021-09-06
1400/07/15,2474475,16998,42064298049,نهال سرمایه ایرانیان,2021-10-07
1400/08/15,2465211,16469,40602977778,نهال سرمایه ایرانیان,2021-11-06
1400/09/15,2453034,16850,41342689005,نهال سرمایه ایرانیان,2021-12-06
1400/10/15,2505692,16614,41664954387,نهال سرمایه ایرانیان,2022-01-05
1400/11/15,2494708,16500,41197668333,نهال سرمایه ایرانیان,2022-02-04
1400/12/15,255936688,164,42005116988,نهال سرمایه ایرانیان,2022-03-06
1401/01/15,287826106,159,45825243288,نهال سرمایه ایرانیان,2022-04-04
1401/02/15,205769165,170,34992378448,نهال سرمایه ایرانیان,2022-05-05
1401/03/15,221660504,170,37689613088,نهال سرمایه ایرانیان,2022-06-05
1401/04/15,207762458,170,35326961661,نهال سرمایه ایرانیان,2022-07-06
1401/05/15,198652736,170,33783160335,نهال سرمایه ایرانیان,2022-08-06
1401/06/15,194186386,170,33018167192,نهال سرمایه ایرانیان,2022-09-06
1401/07/15,195622548,170,33260041686,نهال سرمایه ایرانیان,2022-10-07
1401/08/15,196932900,50,9846645000,نهال سرمایه ایرانیان,2022-11-06
1401/09/15,194877757,150,29231663550,نهال سرمایه ایرانیان,2022-12-06
1401/10/15,156450758,173,27065981134,نهال سرمایه ایرانیان,2023-01-05
1401/11/15,152366425,181,27578322925,نهال سرمایه ایرانیان,2023-02-04
1401/12/15,102749126,189,19419584814,نهال سرمایه ایرانیان,2023-03-06
1402/01/15,104144043,183,19058359869,نهال سرمایه ایرانیان,2023-04-04
1398/09/30,99999990,381,38099996190,گنجینه داریوش,2019-12-21
1398/10/30,99999990,188,18799998120,گنجینه داریوش,2020-01-20
1398/11/30,99999990,192,19199998080,گنجینه داریوش,2020-02-19
1398/12/29,99999990,202,20199997980,گنجینه داریوش,2020-03-19
1399/01/31,99999990,275,27499997250,گنجینه داریوش,2020-04-19
1399/02/31,100799990,583,58766394170,گنجینه داریوش,2020-05-20
1399/03/31,364599990,279,101723397210,گنجینه داریوش,2020-06-20
1399/04/31,410599990,204,83762397960,گنجینه داریوش,2020-07-21
1399/05/31,454399990,181,82246398190,گنجینه داریوش,2020-08-21
1399/06/31,491299990,167,82047098330,گنجینه داریوش,2020-09-21
1399/07/30,483299990,157,75878098430,گنجینه داریوش,2020-10-21
1399/08/30,431299990,159,68576698410,گنجینه داریوش,2020-11-20
1399/09/30,320799990,165,52931998350,گنجینه داریوش,2020-12-20
1399/10/30,284099990,162,46024198380,گنجینه داریوش,2021-01-19
1399/11/30,217199990,165,35837998350,گنجینه داریوش,2021-02-18
1399/12/30,210999990,163,34392998370,گنجینه داریوش,2021-03-20
1400/01/31,210999990,164,34603998360,گنجینه داریوش,2021-04-20
1400/02/31,215799990,156,33664798440,گنجینه داریوش,2021-05-21
1400/03/31,195399990,153,29896198470,گنجینه داریوش,2021-06-21
1400/04/31,196899990,154,30322598460,گنجینه داریوش,2021-07-22
1400/05/31,188599990,153,28855798470,گنجینه داریوش,2021-08-22
1400/06/31,148399990,153,22705198470,گنجینه داریوش,2021-09-22
1400/07/30,107499990,140,15049998600,گنجینه داریوش,2021-10-22
1400/08/30,77199990,55,4245999450,گنجینه داریوش,2021-11-21
1400/09/30,73099990,0,0,گنجینه داریوش,2021-12-21
1400/11/30,70899990,0,0,گنجینه داریوش,2022-02-19
1400/12/24,61599990,43,2648799570,گنجینه داریوش,2022-03-15
1401/01/31,95299990,236,22490797640,گنجینه داریوش,2022-04-20
1401/02/31,105599990,203,21436797970,گنجینه داریوش,2022-05-21
1401/03/31,251899990,198,49876198020,گنجینه داریوش,2022-06-21
1401/04/31,290099990,78,22627799220,گنجینه داریوش,2022-07-22
1401/05/31,278099990,152,42271198480,گنجینه داریوش,2022-08-22
1401/06/31,288599990,117,33766198830,گنجینه داریوش,2022-09-22
1401/07/30,242599990,99,24017399010,گنجینه داریوش,2022-10-22
1401/08/30,225599990,190,42863998100,گنجینه داریوش,2022-11-21
