تاریخ‌اعمال‌سود,کل‌واحدها ,سود تقسیمی هر واحد,مبلغ‌سودکل,name,date
1402/11/30,100000000,210,21000000000,آسمان دامون,2024-02-19
1402/10/30,100000000,209,20900000000,آسمان دامون,2024-01-20
1402/09/30,100000000,395,39500000000,آسمان دامون,2023-12-21
1398/04/31,170066646,193,32822862678,مشترک آسمان امید,2019-07-22
1398/03/31,140366646,198,27792595908,مشترک آسمان امید,2019-06-21
1398/02/31,99996646,204,20399315784,مشترک آسمان امید,2019-05-21
1398/01/31,99996646,187,18699372802,مشترک آسمان امید,2019-04-20
1397/12/29,99996646,184,18399382864,مشترک آسمان امید,2019-03-20
1397/11/30,21416646,166,3555163236,مشترک آسمان امید,2019-02-19
1399/02/31,924386646,392,362359565232,مشترک آسمان امید,2020-05-20
1399/01/31,399926646,238,95182541748,مشترک آسمان امید,2020-04-19
1398/12/29,365886646,175,64030163050,مشترک آسمان امید,2020-03-19
1398/11/30,326356646,200,65271329200,مشترک آسمان امید,2020-02-19
1398/10/30,306516646,210,64368495660,مشترک آسمان امید,2020-01-20
1398/09/30,268646646,190,51042862740,مشترک آسمان امید,2019-12-21
1398/08/30,268646646,166,44595343236,مشترک آسمان امید,2019-11-21
1398/07/30,243676646,166,40450323236,مشترک آسمان امید,2019-10-22
1398/06/31,183286646,200,36657329200,مشترک آسمان امید,2019-09-22
1398/05/31,202926646,177,35918016342,مشترک آسمان امید,2019-08-22
1403/03/15,67982083,21819,1483301068977,در اوراق بهادار با درآمد ثابت امید انصار,2024-06-04
1403/02/15,67212096,21801,1465290904896,در اوراق بهادار با درآمد ثابت امید انصار,2024-05-04
1403/01/15,53926089,20088,1083267275832,در اوراق بهادار با درآمد ثابت امید انصار,2024-04-03
1402/12/15,45264647,20781,940644629307,در اوراق بهادار با درآمد ثابت امید انصار,2024-03-05
1402/11/15,45626912,19376,884067046912,در اوراق بهادار با درآمد ثابت امید انصار,2024-02-04
1402/10/15,42270584,19038,804747378192,در اوراق بهادار با درآمد ثابت امید انصار,2024-01-05
1402/09/15,47186703,18701,882438532803,در اوراق بهادار با درآمد ثابت امید انصار,2023-12-06
1402/08/15,47211446,18701,882901251646,در اوراق بهادار با درآمد ثابت امید انصار,2023-11-06
1402/07/15,48097443,19328,929627378304,در اوراق بهادار با درآمد ثابت امید انصار,2023-10-07
1402/06/15,51056514,19328,986820302592,در اوراق بهادار با درآمد ثابت امید انصار,2023-09-06
1403/03/15,191872397,219,42020054943,ساحل آرام فیروزه,2024-06-04
1403/02/15,214833125,219,47048454375,ساحل آرام فیروزه,2024-05-04
1403/01/15,189970598,216,41033649168,ساحل آرام فیروزه,2024-04-03
1402/12/15,189437091,216,40918411656,ساحل آرام فیروزه,2024-03-05
1402/11/15,168844377,212,35795007924,ساحل آرام فیروزه,2024-02-04
1402/10/15,171323038,232,39746944816,ساحل آرام فیروزه,2024-01-05
1402/09/15,180087536,214,38538732704,ساحل آرام فیروزه,2023-12-06
1402/08/15,145203219,197,28605034143,ساحل آرام فیروزه,2023-11-06
1402/05/15,49520250,19328,957127392000,در اوراق بهادار با درآمد ثابت امید انصار,2023-08-06
1402/04/15,48386560,19328,935215431680,در اوراق بهادار با درآمد ثابت امید انصار,2023-07-06
1402/03/15,47563307,19376,921586636432,در اوراق بهادار با درآمد ثابت امید انصار,2023-06-05
1402/02/15,47583855,18765,892911039075,در اوراق بهادار با درآمد ثابت امید انصار,2023-05-05
1402/01/15,39830511,17554,699184790094,در اوراق بهادار با درآمد ثابت امید انصار,2023-04-04
1401/12/15,34175318,18160,620623774880,در اوراق بهادار با درآمد ثابت امید انصار,2023-03-06
1401/11/15,31293071,18075,565622258325,در اوراق بهادار با درآمد ثابت امید انصار,2023-02-04
1401/10/15,29918684,17315,518042013460,در اوراق بهادار با درآمد ثابت امید انصار,2023-01-05
1401/09/15,25988502,17307,449783004114,در اوراق بهادار با درآمد ثابت امید انصار,2022-12-06
1401/08/15,27165673,17300,469966142900,در اوراق بهادار با درآمد ثابت امید انصار,2022-11-06
1403/02/31,424836078,230,97712297940,نوع دوم افق آتی,2024-05-20
1403/01/31,492836078,241,118773494798,نوع دوم افق آتی,2024-04-19
1402/12/26,548096078,187,102493966586,نوع دوم افق آتی,2024-03-16
1402/11/30,456796078,210,95927176380,نوع دوم افق آتی,2024-02-19
1402/10/30,508296078,209,106233880302,نوع دوم افق آتی,2024-01-20
1402/09/30,511596078,206,105388792068,نوع دوم افق آتی,2023-12-21
1402/08/30,564296078,205,115680695990,نوع دوم افق آتی,2023-11-21
1402/07/30,683596078,204,139453599912,نوع دوم افق آتی,2023-10-22
1402/06/31,746096078,207,154441888146,نوع دوم افق آتی,2023-09-22
1402/05/31,425896078,207,88160488146,نوع دوم افق آتی,2023-08-22
1403/03/15,553751144,2258,1250370083152,گنجینه امید ایرانیان,2024-06-04
