regNo,name,fundType,typeOfInvest,initiationDate,investedUnits,dividendIntervalPeriod,websiteAddress,manager,managerSeoRegisterNo,guarantorSeoRegisterNo,auditor,custodian,guarantor,fundPublisher,smallSymbolName,insCode,fundWatch,webPlatform,fundtypeName
11540,پروژه آرمان پرند مپنا,13,Negotiable,2017-10-30T00:00:00,78000.0,0.0,apmprojectfund.ir,مشاور سرمایه گذاری آرمان آتی,10836,,موسسه حسابرسی هدف نوین نگر,تامین سرمایه تمدن,----,1,,,,تدبیر,پروژه‌ای
11891,اختصاصی بازارگردانی آتیه باران,11,IssuanceAndCancellation,2021-11-24T00:00:00,1221104.0,0.0,atiehbaran.ir,کارگزاری آتیه,10635,,موسسه حسابرسی و خدمات مدیریت رهیافت و همکاران,موسسه حسابرسی هدف نوین نگر,----,1,,,,تدبیر,اختصاصی‌بازارگردانی
12182,اختصاصی بازارگردانی هدف مسکن آتی,11,IssuanceAndCancellation,2023-10-28T00:00:00,2213046.0,0.0,maskanhmfund.ir,تامین سرمایه بانک مسکن,,,مؤسسه حسابرسی و خدمات مدیریت ارقام نگر آریا,موسسه حسابرسی سامان پندار,----,1,,,,تدبیر,اختصاصی‌بازارگردانی
11759,اختصاصی بازارگردانی تاک دانا,11,IssuanceAndCancellation,2020-11-28T00:00:00,17232958.0,0.0,tak.fund,مشاور سرمایه گذاری ترنج,11319,,موسسه آتیه اندیش نمودگر,مشاورسرمایه گذاری هوشمند آبان,----,2,,,,رایان,اختصاصی‌بازارگردانی
11967,زرفام آشنا,5,Negotiable,2022-06-15T00:00:00,456000000.0,0.0,goldfund.ir,سبدگردان سهم آشنا,11557,,موسسه حسابرسی رازدار,موسسه حسابرسی و خدمات مدیریت رهیافت و همکاران,----,2,,,,رایان,مبتنی‌برسپرده‌کالایی
11586,طلای عیار مفید,5,Negotiable,2018-06-20T00:00:00,2707409122.0,0.0,ayaretf.com,سبدگردان مفید,11464,,موسسه حسابرسی داریا روش,موسسه حسابرسی رهیافت و همکاران,----,1,,,,تدبیر,مبتنی‌برسپرده‌کالایی
11856,در اوراق بهادار مبتنی بر گواهی سپرده سکه طلا کهربا,5,Negotiable,2021-07-26T00:00:00,2357500000.0,0.0,kahroba.charismafunds.ir,سبد گردان کاریزما,10856,,موسسه حسابرسی رازدار,مؤسسه حسابرسی و خدمات مدیریت سامان پندار,----,2,,,,رایان,مبتنی‌برسپرده‌کالایی
10864,طلای تابان تمدن,5,Negotiable,2011-05-14T00:00:00,1613092250.0,0.0,tabantamadon.ir,تامین سرمایه تمدن,,,حسابرسی و خدمات مدیریت ارقام نگر آریا,موسسه حسابرسی رازدار,----,2,,,,رایان,مبتنی‌برسپرده‌کالایی
12012,در اوراق بهادار مبتنی بر طلای صبا,5,Negotiable,2022-11-13T00:00:00,413239263.0,0.0,nafis.sabaamc.ir,سبدگردان اندیشه صبا,11816,,موسسه حسابرسی رازدار,موسسه حسابرسی بهراد مشار,----,2,,,,رایان,مبتنی‌برسپرده‌کالایی
11509,پشتوانه طلای لوتوس,5,Negotiable,2017-07-12T00:00:00,645400045.0,0.0,lotusgoldfund.capital,تامین سرمایه لوتوس پارسیان,,,موسسه حسابرسی و بهبود سیستم های مدیریت حسابرسین,موسسه حسابرسی سامان پندار,----,2,,,,رایان,مبتنی‌برسپرده‌کالایی
